# POINT,X,Y_CALC,Y_IN,DIFF,POINT1
1.000000000000000000e+00,0.000000000000000000e+00,1.000286500000000078e+00,1.000286500000000078e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,2.626219999999999943e-02,1.000348599999999921e+00,1.000327799999999989e+00,2.080000000000000075e-05,2.000000000000000000e+00
3.000000000000000000e+00,5.370060000000000111e-02,1.000528400000000095e+00,1.000518900000000100e+00,9.399999999999999786e-06,3.000000000000000000e+00
4.000000000000000000e+00,8.119919999999999916e-02,1.000830700000000073e+00,1.000839299999999987e+00,-8.600000000000000670e-06,4.000000000000000000e+00
5.000000000000000000e+00,1.099886999999999948e-01,1.001281800000000111e+00,1.001315100000000013e+00,-3.330000000000000305e-05,5.000000000000000000e+00
6.000000000000000000e+00,1.386326999999999976e-01,1.001870700000000003e+00,1.001848599999999978e+00,2.209999999999999847e-05,6.000000000000000000e+00
7.000000000000000000e+00,1.692526000000000030e-01,1.002656299999999945e+00,1.002638700000000105e+00,1.769999999999999994e-05,7.000000000000000000e+00
8.000000000000000000e+00,2.000676999999999872e-01,1.003609200000000090e+00,1.003620500000000026e+00,-1.130000000000000023e-05,8.000000000000000000e+00
9.000000000000000000e+00,2.320721000000000034e-01,1.004769999999999941e+00,1.004787300000000050e+00,-1.730000000000000038e-05,9.000000000000000000e+00
1.000000000000000000e+01,2.654510999999999954e-01,1.006163399999999930e+00,1.006198600000000054e+00,-3.529999999999999745e-05,1.000000000000000000e+01
1.100000000000000000e+01,2.995534000000000252e-01,1.007778300000000016e+00,1.007853300000000063e+00,-7.499999999999999343e-05,1.100000000000000000e+01
1.200000000000000000e+01,3.358450000000000046e-01,1.009709900000000049e+00,1.009664899999999976e+00,4.509999999999999849e-05,1.200000000000000000e+01
1.300000000000000000e+01,3.734707999999999917e-01,1.011945700000000059e+00,1.011941200000000096e+00,4.500000000000000114e-06,1.300000000000000000e+01
1.400000000000000000e+01,4.130653000000000241e-01,1.014558800000000094e+00,1.014574199999999982e+00,-1.540000000000000163e-05,1.400000000000000000e+01
1.500000000000000000e+01,4.549541999999999753e-01,1.017618200000000028e+00,1.017665599999999948e+00,-4.750000000000000262e-05,1.500000000000000000e+01
1.600000000000000000e+01,4.989311000000000162e-01,1.021159499999999998e+00,1.021133300000000022e+00,2.629999999999999892e-05,1.600000000000000000e+01
1.700000000000000000e+01,5.459758000000000111e-01,1.025324499999999972e+00,1.025320400000000021e+00,4.099999999999999709e-06,1.700000000000000000e+01
1.800000000000000000e+01,5.957683999999999758e-01,1.030161099999999941e+00,1.030188799999999905e+00,-2.769999999999999906e-05,1.800000000000000000e+01
1.900000000000000000e+01,6.490371999999999808e-01,1.035830199999999923e+00,1.035891300000000070e+00,-6.109999999999999438e-05,1.900000000000000000e+01
2.000000000000000000e+01,7.058419999999999694e-01,1.042461800000000105e+00,1.042458899999999966e+00,2.900000000000000186e-06,2.000000000000000000e+01
2.100000000000000000e+01,7.666827000000000503e-01,1.050265699999999969e+00,1.050265000000000004e+00,5.999999999999999728e-07,2.100000000000000000e+01
2.200000000000000000e+01,8.320874999999999799e-01,1.059509100000000092e+00,1.059447400000000039e+00,6.169999999999999541e-05,2.200000000000000000e+01
2.300000000000000000e+01,9.023936999999999653e-01,1.070490100000000000e+00,1.070219999999999949e+00,2.701000000000000059e-04,2.300000000000000000e+01
2.400000000000000000e+01,9.782577000000000078e-01,1.083538399999999902e+00,1.083062900000000051e+00,4.755000000000000112e-04,2.400000000000000000e+01
2.500000000000000000e+01,1.060313800000000084e+00,1.099020200000000003e+00,1.098358699999999910e+00,6.614999999999999786e-04,2.500000000000000000e+01
2.600000000000000000e+01,1.332406500000000049e+00,1.159502500000000103e+00,1.161330500000000043e+00,-1.827999999999999981e-03,2.600000000000000000e+01
2.700000000000000000e+01,1.747005700000000106e+00,1.272768499999999969e+00,1.291904100000000000e+00,-1.913559999999999914e-02,2.700000000000000000e+01
2.800000000000000000e+01,2.254810899999999840e+00,1.435841900000000004e+00,1.471052999999999944e+00,-3.521119999999999806e-02,2.800000000000000000e+01
2.900000000000000000e+01,2.845329700000000184e+00,1.642386399999999913e+00,1.680118599999999907e+00,-3.773220000000000046e-02,2.900000000000000000e+01
3.000000000000000000e+01,3.519591699999999879e+00,1.879986900000000016e+00,1.910204400000000025e+00,-3.021760000000000071e-02,3.000000000000000000e+01
3.100000000000000000e+01,4.281183999999999656e+00,2.139596800000000076e+00,2.155150700000000086e+00,-1.555390000000000071e-02,3.100000000000000000e+01
3.200000000000000000e+01,5.133970299999999654e+00,2.406615299999999902e+00,2.409456500000000112e+00,-2.841300000000000162e-03,3.200000000000000000e+01
3.300000000000000000e+01,6.080348599999999770e+00,2.671772799999999837e+00,2.667900400000000172e+00,3.872299999999999961e-03,3.300000000000000000e+01
3.400000000000000000e+01,7.121022199999999636e+00,2.931205799999999861e+00,2.925471799999999956e+00,5.734000000000000381e-03,3.400000000000000000e+01
3.500000000000000000e+01,8.254406599999999372e+00,3.182483500000000021e+00,3.177395999999999887e+00,5.087500000000000008e-03,3.500000000000000000e+01
3.600000000000000000e+01,9.476138300000000569e+00,3.422569999999999890e+00,3.419297699999999995e+00,3.272300000000000122e-03,3.600000000000000000e+01
3.700000000000000000e+01,1.077888219999999997e+01,3.649702800000000025e+00,3.647332599999999925e+00,2.370199999999999824e-03,3.700000000000000000e+01
3.800000000000000000e+01,1.215281200000000084e+01,3.860188799999999976e+00,3.858359999999999790e+00,1.828800000000000000e-03,3.800000000000000000e+01
3.900000000000000000e+01,1.358485800000000054e+01,4.051363399999999615e+00,4.050044200000000316e+00,1.319199999999999973e-03,3.900000000000000000e+01
4.000000000000000000e+01,1.506056449999999991e+01,4.222014599999999618e+00,4.220936599999999927e+00,1.077999999999999965e-03,4.000000000000000000e+01
4.100000000000000000e+01,1.656307560000000123e+01,4.371240600000000143e+00,4.370459799999999895e+00,7.808000000000000053e-04,4.100000000000000000e+01
4.200000000000000000e+01,1.807555689999999871e+01,4.499249200000000393e+00,4.498862100000000197e+00,3.870999999999999767e-04,4.200000000000000000e+01
4.300000000000000000e+01,1.958049169999999961e+01,4.607215799999999639e+00,4.607089300000000165e+00,1.265000000000000120e-04,4.300000000000000000e+01
4.400000000000000000e+01,2.106147289999999828e+01,4.696644599999999947e+00,4.696644599999999947e+00,0.000000000000000000e+00,4.400000000000000000e+01
4.500000000000000000e+01,2.250353090000000122e+01,4.769406000000000034e+00,4.769406000000000034e+00,0.000000000000000000e+00,4.500000000000000000e+01
4.600000000000000000e+01,2.389370759999999905e+01,4.827468999999999788e+00,4.827468999999999788e+00,0.000000000000000000e+00,4.600000000000000000e+01
4.700000000000000000e+01,2.522140690000000163e+01,4.872983299999999574e+00,4.872983299999999574e+00,0.000000000000000000e+00,4.700000000000000000e+01
4.800000000000000000e+01,2.647864290000000054e+01,4.908039600000000391e+00,4.908039600000000391e+00,0.000000000000000000e+00,4.800000000000000000e+01
4.900000000000000000e+01,2.766012830000000022e+01,4.934569599999999667e+00,4.934569599999999667e+00,0.000000000000000000e+00,4.900000000000000000e+01
5.000000000000000000e+01,2.876297470000000089e+01,4.954297099999999787e+00,4.954297099999999787e+00,0.000000000000000000e+00,5.000000000000000000e+01
5.100000000000000000e+01,2.978661560000000108e+01,4.968703900000000395e+00,4.968703900000000395e+00,0.000000000000000000e+00,5.100000000000000000e+01
5.200000000000000000e+01,3.073235610000000051e+01,4.979031799999999564e+00,4.979031799999999564e+00,0.000000000000000000e+00,5.200000000000000000e+01
5.300000000000000000e+01,3.160314699999999988e+01,4.986289799999999772e+00,4.986289799999999772e+00,0.000000000000000000e+00,5.300000000000000000e+01
5.400000000000000000e+01,3.240319649999999996e+01,4.991283199999999809e+00,4.991283199999999809e+00,0.000000000000000000e+00,5.400000000000000000e+01
5.500000000000000000e+01,3.313764940000000081e+01,4.994636400000000087e+00,4.994636400000000087e+00,0.000000000000000000e+00,5.500000000000000000e+01
5.600000000000000000e+01,3.381234649999999675e+01,4.996827699999999872e+00,4.996827699999999872e+00,0.000000000000000000e+00,5.600000000000000000e+01
5.700000000000000000e+01,3.443359420000000171e+01,4.998212900000000403e+00,4.998212900000000403e+00,0.000000000000000000e+00,5.700000000000000000e+01
5.800000000000000000e+01,3.500801609999999897e+01,4.999054199999999781e+00,4.999054199999999781e+00,0.000000000000000000e+00,5.800000000000000000e+01
5.900000000000000000e+01,3.554242409999999808e+01,4.999538900000000119e+00,4.999538900000000119e+00,0.000000000000000000e+00,5.900000000000000000e+01
6.000000000000000000e+01,3.604372750000000281e+01,4.999799499999999952e+00,4.999799499999999952e+00,0.000000000000000000e+00,6.000000000000000000e+01
6.100000000000000000e+01,3.651888129999999677e+01,4.999926099999999707e+00,4.999926099999999707e+00,0.000000000000000000e+00,6.100000000000000000e+01
6.200000000000000000e+01,3.697480970000000156e+01,4.999979100000000010e+00,4.999979100000000010e+00,0.000000000000000000e+00,6.200000000000000000e+01
6.300000000000000000e+01,3.741829560000000043e+01,4.999996200000000002e+00,4.999996200000000002e+00,0.000000000000000000e+00,6.300000000000000000e+01
6.400000000000000000e+01,3.785577070000000077e+01,4.999999700000000047e+00,4.999999700000000047e+00,0.000000000000000000e+00,6.400000000000000000e+01
6.500000000000000000e+01,3.829287080000000287e+01,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+01
